id,address_area,address_city,address_state,space_name,description,featured_image,space_images,pricing_monthly,pricing_gst,pricing_br,pricing_ma,listing_address,full_address,processing_time,property_type,property_feature,rating,badge,is_active
60,Andheri East,Mumbai,,Andheri East Business Hub,"A premium, verified business address in Andheri East, Mumbai — ready for GST and company registration, with professional mail handling and coworking access.",,,1199,1199,1499,999,"Andheri East, Mumbai","Andheri East, Mumbai, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Reception|Mail handling|Parking|Power backup|CCTV|24x7 access,4.9,Most Sold,true
61,BKC,Mumbai,,BKC Business Hub,"A premium, verified business address in BKC, Mumbai — ready for GST and company registration, with professional mail handling and coworking access.",,,1499,1499,1799,1299,"BKC, Mumbai","BKC, Mumbai, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Reception|Mail handling|Parking|Power backup|CCTV|24x7 access,4.9,Premium,true
62,Lower Parel,Mumbai,,Lower Parel Business Hub,"A premium, verified business address in Lower Parel, Mumbai — ready for GST and company registration, with professional mail handling and coworking access.",,,1299,1299,1599,1099,"Lower Parel, Mumbai","Lower Parel, Mumbai, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Reception|Mail handling|Parking|Power backup|CCTV|24x7 access,4.8,,true
63,Powai,Mumbai,,Powai Business Hub,"A premium, verified business address in Powai, Mumbai — ready for GST and company registration, with professional mail handling and coworking access.",,,1199,1199,1499,999,"Powai, Mumbai","Powai, Mumbai, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Reception|Mail handling|Parking|Power backup|CCTV|24x7 access,4.7,,true
64,Thane,Mumbai,,Thane Business Hub,"A premium, verified business address in Thane, Mumbai — ready for GST and company registration, with professional mail handling and coworking access.",,,999,999,1299,799,"Thane, Mumbai","Thane, Mumbai, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Reception|Mail handling|Parking|Power backup|CCTV|24x7 access,4.6,,true
40,C A Road,Nagpur,,C A Road Business Hub,"Flexible workstations, private cabins, meeting facilities. Professional yet comfortable.",https://easemyoffice.in/wp-content/uploads/2025/09/2.avif,,,,,,"C A Road, Nagpur","C A Road, Nagpur, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Power backup|24x7 access|Parking|CCTV,4.7,,true
37,Gokulpeth,Nagpur,,Gokulpeth Business Hub,"Centrally located coworking hub. Dedicated desks, private cabins, modern amenities.",https://easemyoffice.in/wp-content/uploads/2025/09/yb5v8q.webp,,,,,,"Gokulpeth, Nagpur","Gokulpeth, Nagpur, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Power backup|24x7 access|Parking|CCTV,4.7,,true
25,Vashi,Navi Mumbai,,Vashi Business Hub,"Flexible seating, dedicated desks, private cabins, conference rooms. High-speed internet, power backup.",https://easemyoffice.in/wp-content/uploads/2024/10/01-45.webp,https://easemyoffice.in/wp-content/uploads/2024/10/03-15.webp|https://easemyoffice.in/wp-content/uploads/2024/10/02-15.webp|https://easemyoffice.in/wp-content/uploads/2024/10/09.webp,,,,,"Vashi, Navi Mumbai","Vashi, Navi Mumbai, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Power backup|24x7 access|Parking|CCTV,4.7,,true
79,Sector 62,Noida,,Sector 62 Business Hub,"A premium, verified business address in Sector 62, Noida — ready for GST and company registration, with professional mail handling and coworking access.",,,899,899,1199,699,"Sector 62, Noida","Sector 62, Noida, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Reception|Mail handling|Parking|Power backup|CCTV|24x7 access,4.8,Most Sold,true
81,Sector 16,Noida,,Sector 16 Business Hub,"A premium, verified business address in Sector 16, Noida — ready for GST and company registration, with professional mail handling and coworking access.",,,899,899,1199,699,"Sector 16, Noida","Sector 16, Noida, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Reception|Mail handling|Parking|Power backup|CCTV|24x7 access,4.6,,true
26,Sector 63,Noida,,Sector 63 Business Hub,"Dynamic collaborative environment. Flexible workspace at competitive prices. Air conditioning, power backup, parking.",https://easemyoffice.in/wp-content/uploads/2024/10/01-46.webp,https://easemyoffice.in/wp-content/uploads/2024/10/03.webp|https://easemyoffice.in/wp-content/uploads/2024/10/02-9.webp|https://easemyoffice.in/wp-content/uploads/2024/10/09-5.webp,,,,,"Sector 63, Noida","Sector 63, Noida, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Power backup|24x7 access|Parking|CCTV,4.7,,true
80,Sector 132,Noida,,Sector 132 Business Hub,"A premium, verified business address in Sector 132, Noida — ready for GST and company registration, with professional mail handling and coworking access.",,,949,949,1249,749,"Sector 132, Noida","Sector 132, Noida, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Reception|Mail handling|Parking|Power backup|CCTV|24x7 access,4.6,,true
27,Sector 2,Noida,,Sector 2 Business Hub,"Professional vibrant environment. Modern aesthetics, high-speed internet, ergonomic furniture, meeting rooms.",https://easemyoffice.in/wp-content/uploads/2024/10/01-47.webp,https://easemyoffice.in/wp-content/uploads/2024/10/03-8.webp|https://easemyoffice.in/wp-content/uploads/2024/10/02-8.webp|https://easemyoffice.in/wp-content/uploads/2024/10/09-6.webp,,,,,"Sector 2, Noida","Sector 2, Noida, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Power backup|24x7 access|Parking|CCTV,4.7,,true
73,Kharadi,Pune,,Kharadi Business Hub,"A premium, verified business address in Kharadi, Pune — ready for GST and company registration, with professional mail handling and coworking access.",,,949,949,1249,749,"Kharadi, Pune","Kharadi, Pune, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Reception|Mail handling|Parking|Power backup|CCTV|24x7 access,4.6,,true
74,Viman Nagar,Pune,,Viman Nagar Business Hub,"A premium, verified business address in Viman Nagar, Pune — ready for GST and company registration, with professional mail handling and coworking access.",,,899,899,1199,699,"Viman Nagar, Pune","Viman Nagar, Pune, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Reception|Mail handling|Parking|Power backup|CCTV|24x7 access,4.6,,true
43,Sinhgad Road,Pune,,Sinhgad Road Business Hub,"Innovative workspace. Open desks, cabin offices, shared amenities.",https://easemyoffice.in/wp-content/uploads/2025/09/4ddd29.webp,,,,,,"Sinhgad Road, Pune","Sinhgad Road, Pune, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Power backup|24x7 access|Parking|CCTV,4.7,,true
41,Erandwane,Pune,,Erandwane Business Hub,"Contemporary workspace. High-speed connectivity, meeting areas, flexible plans.",https://easemyoffice.in/wp-content/uploads/2025/09/The-Hub-A-Coworking-Space-007-min.webp,,,,,,"Erandwane, Pune","Erandwane, Pune, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Power backup|24x7 access|Parking|CCTV,4.7,,true
72,Hinjewadi,Pune,,Hinjewadi Business Hub,"A premium, verified business address in Hinjewadi, Pune — ready for GST and company registration, with professional mail handling and coworking access.",,,899,899,1199,699,"Hinjewadi, Pune","Hinjewadi, Pune, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Reception|Mail handling|Parking|Power backup|CCTV|24x7 access,4.7,,true
38,Balewadi,Pune,,Balewadi Business Hub,"Vibrant workspace with flexible seating, dedicated desks, conference areas. Entrepreneurs and small teams.",https://easemyoffice.in/wp-content/uploads/2025/09/rne684.webp,,,,,,"Balewadi, Pune","Balewadi, Pune, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Power backup|24x7 access|Parking|CCTV,4.7,,true
71,Baner,Pune,,Baner Business Hub,"A premium, verified business address in Baner, Pune — ready for GST and company registration, with professional mail handling and coworking access.",,,899,899,1199,699,"Baner, Pune","Baner, Pune, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Reception|Mail handling|Parking|Power backup|CCTV|24x7 access,4.7,Trending,true
